user,session,success,attempt number,time elapsed (s),account type,password
test,_2u9fqcfia,false,1,,bank,"[]"
test,_lqdely1nu,false,1,2.643,shop,"[]"
test,_f19aowqj7,false,1,7.479,shop,"[cat_short,cat_short,cat_short,cat_short,cat_short,cat_short]"
test,_tzrw66qi2,false,1,7.01,email,"[cat_short,cat_short,cat_short,cat_short,cat_short,cat_short]"
test,_tzrw66qi2,false,2,10.707,email,"[cat_long,cat_long,cat_long,cat_long,cat_long,cat_long]"
test,_tzrw66qi2,false,3,14.901,email,"[cat_long,cat_long,cat_long,cat_long,cat_long,cat_long]"
test,_tzrw66qi2,false,1,2.583,shop,"[cat_short,cat_short,cat_short,cat_short,cat_short,cat_short]"
test,_tzrw66qi2,false,2,12.382,shop,"[cat_short,cat_short,cat_short,cat_short,cat_short,cat_short]"
test,_tzrw66qi2,false,3,16.27,shop,"[bird_long,bird_long,bird_long,bird_long,bird_long,bird_long]"
test,_tzrw66qi2,false,1,2.265,bank,"[cat_short,cat_short,cat_short,cat_short,cat_short,cat_short]"
test,_tzrw66qi2,false,2,4.884,bank,"[cat_long,cat_long,cat_long,cat_long,cat_long,cat_long]"
test,_tzrw66qi2,false,3,8.488,bank,"[cat_long,cat_long,cat_long,cat_long,cat_long,cat_long]"
test,_jn1c7oyo8,false,1,3.248,bank,"[cat_short,cat_short,cat_short,cat_short,cat_short,cat_short]"
test,_jn1c7oyo8,false,2,6.743,bank,"[cat_short,cat_short,cat_short,cat_short,cat_short,cat_short]"
test,_jn1c7oyo8,false,3,10.374,bank,"[cat_short,cat_short,cat_short,cat_short,cat_short,cat_short]"
test,_jn1c7oyo8,false,1,3.077,email,"[cat_long,cat_long,cat_long,cat_long,cat_long,cat_long]"
test,_jn1c7oyo8,false,2,6.642,email,"[cat_long,cat_long,cat_long,cat_long,cat_long,cat_long]"
test,_jn1c7oyo8,false,3,9.83,email,"[cat_long,cat_long,cat_long,cat_long,cat_long,cat_long]"
test,_jn1c7oyo8,false,1,2.319,shop,"[cat_short,cat_short,cat_short,cat_short,cat_short,cat_short]"
test,_jn1c7oyo8,false,2,5.251,shop,"[cat_short,cat_short,cat_short,cat_short,cat_short,cat_short]"
test,_jn1c7oyo8,false,3,8.75,shop,"[cat_short,cat_short,cat_short,cat_short,cat_short,cat_short]"
test,_2g0efr82v,false,1,2.842,bank,"[cat_long,cat_long,cat_long,cat_long,cat_long,cat_long]"
test,_2g0efr82v,false,2,6.797,bank,"[cat_long,cat_long,cat_long,cat_long,cat_long,cat_long]"
test,_2g0efr82v,false,3,10.456,bank,"[cat_long,cat_long,cat_long,cat_long,cat_long,cat_long]"
test,_2g0efr82v,false,1,2.336,shop,"[cat_long,cat_long,cat_long,cat_long,cat_long,cat_long]"
test,_2g0efr82v,false,2,5.962,shop,"[cat_long,cat_long,cat_long,cat_long,cat_long,cat_long]"
test,_2g0efr82v,false,3,9.155,shop,"[cat_long,cat_long,cat_long,cat_long,cat_long,cat_long]"
test,_2g0efr82v,false,1,2.346,email,"[cat_long,cat_long,cat_long,cat_long,cat_long,cat_long]"
test,_2g0efr82v,false,2,5.447,email,"[cat_long,cat_long,cat_long,cat_long,cat_long,cat_long]"
test,_2g0efr82v,false,3,8.679,email,"[cat_long,cat_long,cat_long,cat_long,cat_long,cat_long]"
test,_cfnfk9043,false,1,3.1,email,"[cat_short,cat_short,cat_short,cat_short,cat_short,cat_short]"
test,_cfnfk9043,false,2,6.576,email,"[cat_short,cat_short,cat_short,cat_short,cat_short,cat_short]"
test,_cfnfk9043,false,3,9.911,email,"[cat_short,cat_short,cat_short,cat_short,cat_short,cat_short]"
test,_cfnfk9043,true,1,15.058,bank,"[dog_short,dog_long,cat_short,cat_long,bird_short,bird_short]"
test,_cfnfk9043,false,1,2.563,shop,"[cat_short,cat_short,cat_short,cat_short,cat_short,cat_short]"
test,_cfnfk9043,false,2,5.936,shop,"[cat_short,cat_short,cat_short,cat_short,cat_short,cat_short]"
test,_cfnfk9043,false,3,9.617,shop,"[cat_long,cat_long,cat_long,cat_long,cat_long,cat_long]"
